"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2252","User login with wrong email or password","LMS system","Mon Mar 16 07:07:56 UTC 2026","passed","Mon Mar 16 07:07:58 UTC 2026","Authorization","Authentication","",""
"","2251","User login with wrong email or password","LMS system","Mon Mar 16 07:07:56 UTC 2026","passed","Mon Mar 16 07:07:58 UTC 2026","Authorization","Authentication","",""
"","3884","Create course","LMS system","Mon Mar 16 07:08:07 UTC 2026","passed","Mon Mar 16 07:08:11 UTC 2026","Courses","Courses","",""
"","2262","Registration with correct email, username and password","LMS system","Mon Mar 16 07:08:02 UTC 2026","passed","Mon Mar 16 07:08:05 UTC 2026","Registration","Authentication","",""
"","4302","Edit course","LMS system","Mon Mar 16 07:08:07 UTC 2026","passed","Mon Mar 16 07:08:11 UTC 2026","Courses","Courses","",""
"","3685","User login with correct email and password","LMS system","Mon Mar 16 07:07:58 UTC 2026","passed","Mon Mar 16 07:08:02 UTC 2026","Authorization","Authentication","",""
"","1862","Check displaying of dashboard page","LMS system","Mon Mar 16 07:08:13 UTC 2026","passed","Mon Mar 16 07:08:15 UTC 2026","Dashboard","Dashboard","",""
"","1758","User login with wrong email or password","LMS system","Mon Mar 16 07:07:58 UTC 2026","passed","Mon Mar 16 07:08:00 UTC 2026","Authorization","Authentication","",""
"","2034","Check displaying of empty courses list","LMS system","Mon Mar 16 07:08:05 UTC 2026","passed","Mon Mar 16 07:08:07 UTC 2026","Courses","Courses","",""
"","2017","Navigation from login page to registration page","LMS system","Mon Mar 16 07:08:00 UTC 2026","passed","Mon Mar 16 07:08:02 UTC 2026","Authorization","Authentication","",""
